== vrie.nrrd ==
1 1 1 0
2 1.4142135 4 0
3 1.7320509 4 6.8825514e-08
4 2 4 0
5 2.2360687 4 3.1987207e-07
6 2.4494896 5 -9.7333974e-08
7 2.6457515 5 9.0113758e-08
7.9999995 2.8284271 5 0
9 3 5 0
10 3.1622777 5 0
11 3.3166246 5 -7.1885907e-08
12 3.4641018 5 6.8825514e-08
13 3.6055512 5 0
14 3.7416577 5 6.3720044e-08
14.999999 3.8729835 5 6.1559412e-08
16 4.0000005 5 1.1920929e-07
17 4.123107 5 3.4695e-07
18 4.2426424 5 4.4956641e-07
19 4.3588991 6 0
20 4.472136 6 0
21 4.5825758 6 0
22 4.6904159 6 0
23 4.7958317 6 0
24 4.8989792 6 -9.7333974e-08
25 5 6 0
25.999998 5.0990191 6 -9.351546e-08
27 5.1961527 6 9.1767355e-08
28 5.291503 6 9.0113758e-08
28.999998 5.3851647 6 0
30 5.4772253 6 -8.7058154e-08
31 5.5677643 6 0
31.999998 5.6568542 6 0
33 5.7445626 6 0
34 5.8309517 6 0
35 5.9160795 6 -8.0600188e-08
36 6 6 0
37 6.0827627 6 0
38 6.1644139 6 0
39 6.244998 6 0
40 6.3245554 6 0
41 6.4031243 6 0
42 6.4807405 6 0
43 6.5574389 6 7.2716986e-08
44 6.6332493 6 -7.1885907e-08
45 6.7082043 6 7.1082688e-08
46 6.78233 6 0
47 6.8556547 6 0
48 6.9282036 6 6.8825514e-08
49 7 6 0
50 7.0710678 6 0
50.999996 7.1414285 6 6.6770561e-08
52 7.2111025 6 0
53 7.2801104 6 6.5498618e-08
54 7.3484697 6 6.4889321e-08
55 7.4161987 6 6.4296714e-08
56.000004 7.4833155 6 6.3720044e-08
56.999996 7.5498347 6 6.3158623e-08
58 7.6157742 6 1.2522356e-07
59 7.6811466 6 1.2415782e-07
60 7.7459679 6 1.2311882e-07
61 7.8102508 6 1.2210548e-07
62.000004 7.8740091 6 1.2111676e-07
62.999996 7.9372549 6 1.8022752e-07
64 8.0000019 6 2.3841858e-07
65 8.0622597 6 2.3657748e-07
66 8.1240406 6 2.3477838e-07
67 8.1853552 6 3.4952961e-07
68 8.2462139 6 3.4695e-07
69 8.3066273 6 4.5923559e-07
70 8.3666039 6 4.5594354e-07
71 8.4261532 6 4.5272131e-07
72 8.485281 7 0
73 8.5440044 7 1.1161914e-07
74 8.6023254 7 0
75 8.6602535 7 -1.1012082e-07
76 8.7177982 7 0
77 8.7749643 7 0
78 8.8317604 7 0
79 8.888195 7 1.0729675e-07
80 8.944272 7 0
81 9 7 0
82 9.0553856 7 0
83 9.1104336 7 0
84 9.1651516 7 0
85 9.2195444 7 0
86 9.2736187 7 0
87 9.3273792 7 0
88 9.3808317 7 0
89 9.4339809 7 0
90 9.4868336 7 1.005261e-07
91 9.5393925 7 0
92 9.5916634 7 0
93 9.6436501 7 -9.8891419e-08
94 9.6953602 7 0
95 9.7467937 7 -9.7844918e-08
96 9.7979584 7 -9.7333974e-08
97 9.8488579 7 0
98 9.8994951 7 0
99 9.9498749 7 9.5847881e-08
100 10 7 0
== vrie.nrrd with -eps 1e-8 -l 20 ==
1 1 1 0
2 -1 -1 -1
3 -1 -1 -1
4 2 4 0
5 2.236068 5 0
6 -1 -1 -1
7 -1 -1 -1
7.9999995 2.8284271 5 0
9 3 5 0
10 3.1622777 5 0
11 -1 -1 -1
12 -1 -1 -1
13 3.6055512 5 0
14 -1 -1 -1
14.999999 -1 -1 -1
16 4 6 0
17 -1 -1 -1
18 -1 -1 -1
19 -1 -1 -1
20 4.472136 6 0
21 4.5825758 6 0
22 4.6904159 6 0
23 -1 -1 -1
24 -1 -1 -1
25 5 6 0
25.999998 -1 -1 -1
27 -1 -1 -1
28 -1 -1 -1
28.999998 5.3851647 6 0
30 -1 -1 -1
31 5.5677643 6 0
31.999998 5.6568542 6 0
33 5.7445626 6 0
34 -1 -1 -1
35 -1 -1 -1
36 6 6 0
37 -1 -1 -1
38 -1 -1 -1
39 -1 -1 -1
40 6.3245554 6 0
41 6.4031243 6 0
42 -1 -1 -1
43 -1 -1 -1
44 -1 -1 -1
45 -1 -1 -1
46 6.78233 6 0
47 6.8556547 6 0
48 -1 -1 -1
49 7 6 0
50 7.0710678 6 0
50.999996 7.1414285 6 6.6770561e-08
52 7.2111025 6 0
53 -1 -1 -1
54 7.3484693 7 0
55 -1 -1 -1
56.000004 7.483315 7 0
56.999996 -1 -1 -1
58 -1 -1 -1
59 7.6811457 7 0
60 7.7459669 7 0
61 -1 -1 -1
62.000004 7.8740082 7 0
62.999996 -1 -1 -1
64 8 7 0
65 8.0622578 7 0
66 -1 -1 -1
67 -1 -1 -1
68 -1 -1 -1
69 -1 -1 -1
70 -1 -1 -1
71 -1 -1 -1
72 -1 -1 -1
73 -1 -1 -1
74 8.6023254 7 0
75 -1 -1 -1
76 -1 -1 -1
77 8.7749643 7 0
78 -1 -1 -1
79 -1 -1 -1
80 8.944272 7 0
81 9 7 0
82 -1 -1 -1
83 9.1104336 7 0
84 9.1651516 7 0
85 9.2195444 7 0
86 9.2736187 7 0
87 9.3273792 7 0
88 9.3808317 7 0
89 -1 -1 -1
90 -1 -1 -1
91 -1 -1 -1
92 -1 -1 -1
93 -1 -1 -1
94 -1 -1 -1
95 -1 -1 -1
96 -1 -1 -1
97 9.8488579 7 0
98 9.8994951 7 0
99 -1 -1 -1
100 10 7 0
== collection instead of array
== vrie.nrrd from coll.diderot
1 1 1 0
4 2 4 0
5 2.236068 5 0
7.9999995 2.8284271 5 0
9 3 5 0
10 3.1622777 5 0
13 3.6055512 5 0
16 4 6 0
20 4.472136 6 0
21 4.5825758 6 0
22 4.6904159 6 0
25 5 6 0
28.999998 5.3851647 6 0
31 5.5677643 6 0
31.999998 5.6568542 6 0
33 5.7445626 6 0
36 6 6 0
40 6.3245554 6 0
41 6.4031243 6 0
46 6.78233 6 0
47 6.8556547 6 0
49 7 6 0
50 7.0710678 6 0
50.999996 7.1414285 6 6.6770561e-08
52 7.2111025 6 0
54 7.3484693 7 0
